code,description,top_code,top_level,super_group
1000,Multidisciplinary,10,Multidisciplinary,NA
1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,Life Sciences
1101,Agricultural and Biological Sciences (miscellaneous),11,Agricultural and Biological Sciences,Life Sciences
1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,Life Sciences
1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,Life Sciences
1104,Aquatic Science,11,Agricultural and Biological Sciences,Life Sciences
1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,Life Sciences
1106,Food Science,11,Agricultural and Biological Sciences,Life Sciences
1107,Forestry,11,Agricultural and Biological Sciences,Life Sciences
1108,Horticulture,11,Agricultural and Biological Sciences,Life Sciences
1109,Insect Science,11,Agricultural and Biological Sciences,Life Sciences
1110,Plant Science,11,Agricultural and Biological Sciences,Life Sciences
1111,Soil Science,11,Agricultural and Biological Sciences,Life Sciences
1200,General Arts and Humanities,12,Arts and Humanities,Social Sciences
1201,Arts and Humanities (miscellaneous),12,Arts and Humanities,Social Sciences
1202,History,12,Arts and Humanities,Social Sciences
1203,Language and Linguistics,12,Arts and Humanities,Social Sciences
1204,Archaeology,12,Arts and Humanities,Social Sciences
1205,Classics,12,Arts and Humanities,Social Sciences
1206,Conservation,12,Arts and Humanities,Social Sciences
1207,History and Philosophy of Science,12,Arts and Humanities,Social Sciences
1208,Literature and Literary Theory,12,Arts and Humanities,Social Sciences
1209,Museology,12,Arts and Humanities,Social Sciences
1210,Music,12,Arts and Humanities,Social Sciences
1211,Philosophy,12,Arts and Humanities,Social Sciences
1212,Religious studies,12,Arts and Humanities,Social Sciences
1213,Visual Arts and Performing Arts,12,Arts and Humanities,Social Sciences
1300,"General Biochemistry, Genetics and Molecular Biology",13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1302,Ageing,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1303,Biochemistry,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1304,Biophysics,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1305,Biotechnology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1306,Cancer Research,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1308,Clinical Biochemistry,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1309,Developmental Biology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1310,Endocrinology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1313,Molecular Medicine,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1314,Physiology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1315,Structural Biology,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1400,"General Business, Management and Accounting",14,"Business, Management and Accounting",Social Sciences
1401,"Business, Management and Accounting (miscellaneous)",14,"Business, Management and Accounting",Social Sciences
1402,Accounting,14,"Business, Management and Accounting",Social Sciences
1403,Business and International Management,14,"Business, Management and Accounting",Social Sciences
1404,Management Information Systems,14,"Business, Management and Accounting",Social Sciences
1405,Management of Technology and Innovation,14,"Business, Management and Accounting",Social Sciences
